cause_name,sex,age,deaths,ylls,ylds,dalys
Diarrheal diseases,Female,70 to 74,24118.95825,416690.7126,11786.08536,428476.7979
Diarrheal diseases,Female,40 to 44,3725.171183,166313.4966,23956.80447,190270.3011
Diarrheal diseases,Female,75 to 79,25038.79571,334139.787,8607.02416,342746.8111
Diarrheal diseases,Female,Under 5,45598.30237,3899274.087,554009.2713,4453283.358
Diarrheal diseases,Female,25 to 29,2730.836228,162359.7925,40809.32346,203169.116
Diarrheal diseases,Female,35 to 39,2641.275258,130867.8716,27701.06259,158568.9342
Diarrheal diseases,Female,55 to 59,11517.10407,350490.1704,19780.21595,370270.3863
Diarrheal diseases,Female,60 to 64,15197.00385,393477.0635,16945.34792,410422.4114
Diarrheal diseases,Female,5 to 9,7893.314617,626083.5008,100248.7467,726332.2475
Diarrheal diseases,Female,10 to 14,3872.577389,287547.5468,57759.45675,345307.0035
Diarrheal diseases,Female,45 to 49,5247.652561,208923.2483,23233.86057,232157.1089
Diarrheal diseases,Female,30 to 34,2601.563766,141737.1029,34048.4176,175785.5205
Diarrheal diseases,Female,65 to 69,19866.00116,426965.1858,14001.6051,440966.7909
Diarrheal diseases,Female,80 plus,49270.96073,358971.3355,8725.605842,367696.9413
Diarrheal diseases,Female,50 to 54,6366.393299,223421.101,21696.9963,245118.0973
Diarrheal diseases,Female,20 to 24,3452.424971,222230.5599,46594.42823,268824.9881
Diarrheal diseases,Female,15 to 19,3686.166162,255178.4131,51516.90903,306695.3221
Intestinal infectious diseases,Female,40 to 44,1519.228415,67819.30492,1472.630546,69291.93547
Intestinal infectious diseases,Female,55 to 59,891.0912195,27115.02601,908.1134039,28023.13941
Intestinal infectious diseases,Female,75 to 79,370.5660415,4942.391109,335.0481852,5277.439294
Intestinal infectious diseases,Female,10 to 14,5113.375918,379646.9391,5979.542174,385626.4813
Intestinal infectious diseases,Female,5 to 9,7096.110207,562850.6827,10126.52868,572977.2113
Intestinal infectious diseases,Female,70 to 74,491.5274629,8489.483466,464.3118196,8953.795285
Intestinal infectious diseases,Female,25 to 29,3233.535231,192240.5021,2896.051347,195136.5534
Intestinal infectious diseases,Female,60 to 64,724.1959535,18749.68152,754.1647265,19503.84625
Intestinal infectious diseases,Female,30 to 34,2535.340264,138129.147,2334.101277,140463.2483
Intestinal infectious diseases,Female,50 to 54,1059.678463,37183.04755,1099.145505,38282.19306
Intestinal infectious diseases,Female,35 to 39,1986.673153,98427.53613,1796.089328,100223.6255
Intestinal infectious diseases,Female,15 to 19,4632.664571,320720.7348,4370.307911,325091.0427
Intestinal infectious diseases,Female,20 to 24,3698.435541,238074.5695,3447.255239,241521.8247
Intestinal infectious diseases,Female,Under 5,11891.79802,1008537.173,10861.23868,1019398.412
Intestinal infectious diseases,Female,45 to 49,1308.281337,52083.93337,1263.822278,53347.75564
Intestinal infectious diseases,Female,80 plus,398.7521181,2887.875237,277.0382122,3164.91345
Intestinal infectious diseases,Female,65 to 69,583.9869057,12549.28089,607.4647362,13156.74563
Lower respiratory infections,Female,40 to 44,2710.464063,120997.4781,341.8502718,121339.3283
Lower respiratory infections,Female,70 to 74,12749.53903,220174.5363,465.1401249,220639.6764
Lower respiratory infections,Female,35 to 39,2278.394757,112883.615,332.327957,113215.943
Lower respiratory infections,Female,20 to 24,2699.318343,173755.8487,536.1935357,174292.0423
Lower respiratory infections,Female,30 to 34,1948.026712,106131.4223,407.1802354,106538.6025
Lower respiratory infections,Female,Under 5,83334.08219,7149360.061,13952.00768,7163312.068
Lower respiratory infections,Female,60 to 64,7610.831642,197040.4608,407.0183517,197447.4791
Lower respiratory infections,Female,45 to 49,3664.05732,145868.8438,409.8796664,146278.7235
Lower respiratory infections,Female,80 plus,27584.29723,198691.9215,1167.415004,199859.3365
Lower respiratory infections,Female,25 to 29,2342.374886,139262.2872,473.2493022,139735.5365
Lower respiratory infections,Female,50 to 54,4493.390413,157663.9981,445.5100562,158109.5082
Lower respiratory infections,Female,5 to 9,5996.486964,475630.5472,1503.409825,477133.9571
Lower respiratory infections,Female,10 to 14,2899.925307,215320.2969,1076.088556,216396.3855
Lower respiratory infections,Female,65 to 69,9431.8957,202665.7794,317.0123681,202982.7918
Lower respiratory infections,Female,75 to 79,13842.19711,184563.705,635.043113,185198.7481
Lower respiratory infections,Female,15 to 19,2393.217307,165676.1542,735.3418005,166411.496
Lower respiratory infections,Female,55 to 59,5504.648304,167493.8301,447.7611126,167941.5912
Upper respiratory infections,Female,20 to 24,15.86997237,1021.540003,39130.96781,40152.50781
Upper respiratory infections,Female,70 to 74,39.75637061,686.8356821,5196.054124,5882.889806
Upper respiratory infections,Female,25 to 29,16.69532592,992.6126433,36367.1542,37359.76684
Upper respiratory infections,Female,60 to 64,41.60814851,1077.314749,10766.15911,11843.47386
Upper respiratory infections,Female,30 to 34,14.39899014,784.4786179,32385.01154,33169.49016
Upper respiratory infections,Female,40 to 44,16.25434656,725.7003847,24254.67687,24980.37726
Upper respiratory infections,Female,10 to 14,7.489388735,556.0998558,43015.72014,43571.82
Upper respiratory infections,Female,Under 5,84.52294263,7232.168698,46560.31715,53792.48585
Upper respiratory infections,Female,45 to 49,21.91784635,872.6117905,20982.14697,21854.75876
Upper respiratory infections,Female,65 to 69,41.23452354,886.2193753,7314.305876,8200.525251
Upper respiratory infections,Female,35 to 39,17.09783619,847.1699514,28121.97722,28969.14718
Upper respiratory infections,Female,50 to 54,25.67544046,901.0581729,17640.64578,18541.70396
Upper respiratory infections,Female,80 plus,66.8829564,487.0057024,2150.792732,2637.798434
Upper respiratory infections,Female,55 to 59,35.85490741,1091.1491,14509.22086,15600.36996
Upper respiratory infections,Female,75 to 79,37.70832334,503.2142171,3217.220823,3720.435041
Upper respiratory infections,Female,15 to 19,13.83234883,957.5586016,40948.49534,41906.05394
Upper respiratory infections,Female,5 to 9,10.12317202,802.9517742,44949.27188,45752.22365
Otitis media,Female,60 to 64,6.563184409,169.9299618,3869.221294,4039.151256
Otitis media,Female,50 to 54,6.868150591,241.0179448,6918.85587,7159.873815
Otitis media,Female,80 plus,4.124089759,29.97387437,287.0094569,316.9833313
Otitis media,Female,20 to 24,7.362716103,473.942746,15331.06763,15805.01038
Otitis media,Female,65 to 69,8.81892099,189.5277428,2133.278167,2322.80591
Otitis media,Female,25 to 29,6.998946837,416.1081696,12945.82073,13361.9289
Otitis media,Female,5 to 9,9.349586711,741.5923807,26197.48622,26939.0786
Otitis media,Female,70 to 74,5.566912009,96.16659002,1191.327653,1287.494243
Otitis media,Female,45 to 49,4.090919358,162.8653926,7354.161437,7517.02683
Otitis media,Female,35 to 39,5.888457012,291.7468576,8774.219113,9065.965971
Otitis media,Female,40 to 44,5.286904479,236.024966,7569.080484,7805.10545
Otitis media,Female,30 to 34,6.043111073,329.2377712,10610.66495,10939.90272
Otitis media,Female,15 to 19,8.214133445,568.6488943,18970.03509,19538.68399
Otitis media,Female,Under 5,25.79642179,2201.212964,23734.62752,25935.84048
Otitis media,Female,55 to 59,6.776507424,206.2158836,5668.752484,5874.968368
Otitis media,Female,75 to 79,3.633785397,48.48326109,618.4857184,666.9689795
Otitis media,Female,10 to 14,9.311432049,691.3666807,23847.40297,24538.76965
Meningitis,Female,60 to 64,2073.407817,53681.2017,6087.347425,59768.54912
Meningitis,Female,80 plus,1552.308064,11207.43086,1747.870928,12955.30179
Meningitis,Female,50 to 54,2060.519621,72305.91654,9443.547746,81749.46428
Meningitis,Female,65 to 69,318.5753435,6843.628429,4512.999902,11356.62833
Meningitis,Female,75 to 79,1539.335614,20527.37764,2167.365047,22694.74269
Meningitis,Female,20 to 24,1012.812285,65196.16502,19880.09569,85076.26072
Meningitis,Female,Under 5,4996.418867,427394.2817,11958.57197,439352.8536
Meningitis,Female,5 to 9,790.0039277,62661.68887,16456.16082,79117.84969
Meningitis,Female,25 to 29,636.9004396,37864.95665,19278.45156,57143.40821
Meningitis,Female,70 to 74,2112.97245,36491.07405,3384.113287,39875.18734
Meningitis,Female,15 to 19,697.7072788,48303.44096,18736.52256,67039.96353
Meningitis,Female,45 to 49,2149.179447,85562.71119,11641.61206,97204.32326
Meningitis,Female,30 to 34,425.3759049,23175.11844,17400.07487,40575.19331
Meningitis,Female,35 to 39,415.3573372,20576.83446,15750.64413,36327.4786
Meningitis,Female,10 to 14,727.0066779,53975.79221,17612.43035,71588.22256
Meningitis,Female,55 to 59,2910.493746,88566.46202,7769.804069,96336.26608
Meningitis,Female,40 to 44,1461.622767,65250.78997,13617.31751,78868.10747
Encephalitis,Female,70 to 74,284.1285637,4905.980129,801.8504044,5707.830533
Encephalitis,Female,35 to 39,575.2654819,28501.66477,2310.252075,30811.91685
Encephalitis,Female,30 to 34,478.0348862,26044.05887,2493.695466,28537.75433
Encephalitis,Female,75 to 79,242.7153495,3234.439127,498.4713714,3732.910499
Encephalitis,Female,60 to 64,1000.173661,25895.74848,1662.365875,27558.11435
Encephalitis,Female,80 plus,287.1458735,2055.42445,278.8303669,2334.254817
Encephalitis,Female,45 to 49,708.1079047,28190.82073,2299.764056,30490.58479
Encephalitis,Female,5 to 9,1151.982664,91373.19035,2117.506876,93490.69723
Encephalitis,Female,15 to 19,1132.673758,78411.82744,2840.535299,81252.36274
Encephalitis,Female,40 to 44,614.9673567,27453.60834,2273.680842,29727.28918
Encephalitis,Female,25 to 29,632.7751208,37620.8283,2867.096037,40487.92434
Encephalitis,Female,50 to 54,820.3494115,28786.52189,2133.783148,30920.30503
Encephalitis,Female,Under 5,7902.41944,673039.9835,1475.641926,674515.6255
Encephalitis,Female,55 to 59,856.648497,26067.725,1972.052026,28039.77703
Encephalitis,Female,65 to 69,856.1537555,18399.03639,1151.171181,19550.20757
Encephalitis,Female,20 to 24,1347.906197,86765.27985,3028.524965,89793.80481
Encephalitis,Female,10 to 14,1655.903025,122950.1815,2553.627693,125503.8092
Diphtheria,Female,30 to 34,9.36049445,509.9738021,0.223164336,510.1969664
Diphtheria,Female,40 to 44,11.02656902,492.2804405,0.258511052,492.5389515
Diphtheria,Female,35 to 39,12.39798396,614.2935293,0.30392139,614.5974507
Diphtheria,Female,55 to 59,15.42744008,469.4759666,0.304563849,469.7805305
Diphtheria,Female,15 to 19,22.0352998,1525.435156,0.531081509,1525.966238
Diphtheria,Female,5 to 9,113.4050746,8995.086289,2.523416047,8997.609705
Diphtheria,Female,45 to 49,19.6556083,782.5401683,0.423825717,782.9639941
Diphtheria,Female,Under 5,429.9375988,36633.62563,8.741745922,36642.36738
Diphtheria,Female,25 to 29,8.890881263,528.5962762,0.214010568,528.8102867
Diphtheria,Female,50 to 54,18.03612224,632.9411432,0.358549368,633.2996925
Diphtheria,Female,20 to 24,12.87020791,828.4555733,0.300900481,828.7564738
Diphtheria,Female,10 to 14,44.22081267,3283.407481,1.050726933,3284.458208
Whooping cough,Female,35 to 39,7.58225893,375.6793085,28.83466561,404.5139741
Whooping cough,Female,55 to 59,7.208404097,219.3637968,26.22238801,245.5861849
Whooping cough,Female,15 to 19,23.01572502,1593.310494,84.16885629,1677.47935
Whooping cough,Female,5 to 9,278.1583447,22063.01898,1201.686636,23264.70562
Whooping cough,Female,Under 5,5879.437233,501544.6142,21610.04952,523154.6637
Whooping cough,Female,25 to 29,13.37095057,794.9549679,50.615781,845.5707489
Whooping cough,Female,30 to 34,9.653204732,525.9210981,37.06364479,562.9847428
Whooping cough,Female,40 to 44,6.443922939,287.6911201,25.0387811,312.7299012
Whooping cough,Female,50 to 54,6.767272081,237.4854188,25.70225934,263.1876781
Whooping cough,Female,45 to 49,6.213471396,247.3740248,23.97093908,271.3449639
Whooping cough,Female,20 to 24,19.54740927,1258.266076,74.64586691,1332.911943
Whooping cough,Female,10 to 14,55.58343646,4127.087696,230.421765,4357.509461
Tetanus,Female,35 to 39,78.79097096,3903.137156,208.6994888,4111.836644
Tetanus,Female,5 to 9,90.71503021,7195.352833,506.3256275,7701.67846
Tetanus,Female,70 to 74,871.6253462,15055.22405,34.10617651,15089.33022
Tetanus,Female,15 to 19,57.29497995,3966.904223,373.9214146,4340.825638
Tetanus,Female,55 to 59,346.0313012,10528.45594,81.34634712,10609.80229
Tetanus,Female,25 to 29,67.77317132,4029.07878,285.15816,4314.23694
Tetanus,Female,60 to 64,869.1500035,22502.71908,66.74910195,22569.46819
Tetanus,Female,75 to 79,880.0414104,11739.84543,26.75809366,11766.60352
Tetanus,Female,80 plus,528.3477393,3834.013915,14.91651163,3848.930427
Tetanus,Female,40 to 44,130.8650149,5841.206487,174.3289332,6015.53542
Tetanus,Female,30 to 34,50.42742227,2747.361734,245.8717214,2993.233455
Tetanus,Female,Under 5,6901.028746,595773.9001,961.1505223,596735.0506
Tetanus,Female,20 to 24,50.29430382,3237.680173,325.7285539,3563.408727
Tetanus,Female,45 to 49,35.6293722,1418.263373,137.6870931,1555.950466
Tetanus,Female,65 to 69,1023.37937,21992.52353,49.22555154,22041.74908
Tetanus,Female,50 to 54,39.74589344,1394.02684,102.9882701,1497.01511
Tetanus,Female,10 to 14,67.5950438,5017.868628,434.6661914,5452.534819
Measles,Female,55 to 59,1.556056794,47.35655269,1.21721708,48.57376977
Measles,Female,5 to 9,388.7975397,30838.72069,359.0857163,31197.8064
Measles,Female,15 to 19,46.5326438,3221.19622,37.5482833,3258.744503
Measles,Female,40 to 44,3.690115979,164.760083,3.167408565,167.9274916
Measles,Female,20 to 24,25.64856228,1650.96126,22.08781323,1673.049073
Measles,Female,Under 5,3775.507831,320457.9109,2759.839884,323217.7508
Measles,Female,25 to 29,15.00729015,892.2640307,12.88021675,905.1442475
Measles,Female,35 to 39,5.939135809,294.2828483,4.999995037,299.2828433
Measles,Female,45 to 49,2.375658599,94.58402564,2.03063131,96.61465695
Measles,Female,50 to 54,1.902409678,66.76788778,1.569547294,68.33743508
Measles,Female,30 to 34,9.588993365,522.4227663,8.188867039,530.6116334
Measles,Female,10 to 14,110.410671,8198.402938,99.94536719,8298.348305
Varicella and herpes zoster,Female,70 to 74,44.39468204,766.8988259,637.7116972,1404.610523
Varicella and herpes zoster,Female,15 to 19,19.16821336,1326.963653,288.9866282,1615.950282
Varicella and herpes zoster,Female,55 to 59,28.64070816,871.5661027,1102.441665,1974.007768
Varicella and herpes zoster,Female,60 to 64,36.53083884,945.8358242,994.5680096,1940.403834
Varicella and herpes zoster,Female,5 to 9,32.47016433,2575.474961,445.6193533,3021.094314
Varicella and herpes zoster,Female,25 to 29,40.49934022,2407.828685,520.4309084,2928.259593
Varicella and herpes zoster,Female,Under 5,239.7693424,20497.81355,689.1738122,21186.98736
Varicella and herpes zoster,Female,45 to 49,31.3652219,1248.720934,975.0989599,2223.819894
Varicella and herpes zoster,Female,80 plus,255.6967031,1857.910378,380.9056066,2238.815984
Varicella and herpes zoster,Female,35 to 39,37.98577945,1882.06239,779.1239614,2661.186351
Varicella and herpes zoster,Female,40 to 44,29.17921693,1302.680766,862.2061169,2164.886883
Varicella and herpes zoster,Female,20 to 24,22.93887856,1476.58453,391.0056546,1867.590185
Varicella and herpes zoster,Female,75 to 79,66.50443673,887.2971059,450.7108244,1338.00793
Varicella and herpes zoster,Female,10 to 14,19.74154342,1465.799789,267.1276604,1732.927449
Varicella and herpes zoster,Female,50 to 54,27.80769548,975.851241,1067.839196,2043.690437
Varicella and herpes zoster,Female,65 to 69,36.01876937,774.0763089,804.9283002,1579.004609
Varicella and herpes zoster,Female,30 to 34,41.15476141,2242.173238,678.472381,2920.645619
Malaria,Female,70 to 74,5769.130448,99664.1428,2834.625098,102498.7679
Malaria,Female,5 to 9,3550.323774,281605.2882,54637.22995,336242.5181
Malaria,Female,55 to 59,5231.695442,159208.7312,9827.707473,169036.4387
Malaria,Female,35 to 39,2483.231546,123030.5299,30475.34097,153505.8708
Malaria,Female,80 plus,3401.82122,24765.06254,527.096043,25292.15858
Malaria,Female,15 to 19,3506.944617,242785.3045,46216.85056,289002.1551
Malaria,Female,60 to 64,5382.878099,139371.7963,6967.601428,146339.3978
Malaria,Female,25 to 29,2723.925109,161944.9228,37448.75757,199393.6804
Malaria,Female,75 to 79,3593.548357,47951.46526,1657.335226,49608.80048
Malaria,Female,45 to 49,2820.363621,112284.0002,21049.04881,133333.049
Malaria,Female,Under 5,6151.149784,523788.4039,5408.154566,529196.5585
Malaria,Female,10 to 14,2672.559614,198432.0359,79462.46559,277894.5015
Malaria,Female,30 to 34,2241.504965,122120.5584,34665.37974,156785.9382
Malaria,Female,50 to 54,3181.280239,111638.6258,13049.36879,124687.9946
Malaria,Female,40 to 44,2077.12715,92729.27084,26187.2039,118916.4747
Malaria,Female,20 to 24,2948.655822,189808.4651,38903.31819,228711.7833
Malaria,Female,65 to 69,4406.932997,94710.58017,4074.963898,98785.54407
Leishmaniasis,Female,70 to 74,109.5776832,1893.077637,13.61507094,1906.692708
Leishmaniasis,Female,35 to 39,434.6683489,21537.56047,61.41249046,21598.97296
Leishmaniasis,Female,60 to 64,172.7613723,4473.152066,20.93047205,4494.082538
Leishmaniasis,Female,55 to 59,241.3370635,7344.564867,29.33034917,7373.895216
Leishmaniasis,Female,80 plus,57.01763756,415.0403038,7.392404119,422.4327079
Leishmaniasis,Female,5 to 9,1683.42923,133526.5749,354.778963,133881.3539
Leishmaniasis,Female,15 to 19,531.0987095,36764.93712,86.30071523,36851.23783
Leishmaniasis,Female,75 to 79,81.85558651,1092.286416,10.22216465,1102.50858
Leishmaniasis,Female,45 to 49,336.9106422,13413.57707,45.85753808,13459.43461
Leishmaniasis,Female,25 to 29,451.0734417,26818.72053,69.88496213,26888.60549
Leishmaniasis,Female,Under 5,4285.019555,363887.6572,601.6548508,364489.312
Leishmaniasis,Female,50 to 54,285.3309261,10013.78273,37.07378687,10050.85652
Leishmaniasis,Female,20 to 24,483.8785357,31146.55787,78.95429805,31225.51217
Leishmaniasis,Female,30 to 34,430.3779518,23447.63747,63.84107859,23511.47855
Leishmaniasis,Female,40 to 44,389.8968827,17408.21949,54.68588162,17462.90537
Leishmaniasis,Female,10 to 14,928.9021927,68974.69851,181.3083687,69156.00688
Leishmaniasis,Female,65 to 69,125.6021611,2699.478997,15.57386937,2715.052866
Cysticercosis,Female,70 to 74,1.736865924,30.00336714,1045.756646,1075.760013
Cysticercosis,Female,35 to 39,3.314926791,164.2444584,3220.116119,3384.360577
Cysticercosis,Female,80 plus,1.048299642,7.613252514,361.6505279,369.2637804
Cysticercosis,Female,55 to 59,3.172999402,96.55772156,2222.238439,2318.796161
Cysticercosis,Female,15 to 19,1.532854618,106.115698,2790.218166,2896.333864
Cysticercosis,Female,60 to 64,2.767786024,71.66167122,1948.789891,2020.451562
Cysticercosis,Female,45 to 49,2.901003231,115.4955189,2478.455245,2593.950763
Cysticercosis,Female,5 to 9,0.853847284,67.7256289,15.24869814,82.97432704
Cysticercosis,Female,75 to 79,1.03487699,13.8068701,678.2642717,692.0711418
Cysticercosis,Female,50 to 54,2.901256123,101.812413,2374.207732,2476.020145
Cysticercosis,Female,20 to 24,2.263231593,145.6844312,4318.726418,4464.410849
Cysticercosis,Female,40 to 44,2.904323013,129.6626152,2807.178426,2936.841041
Cysticercosis,Female,30 to 34,3.321439388,180.9570084,3783.41644,3964.373448
Cysticercosis,Female,65 to 69,2.346115726,50.42011986,1433.888356,1484.308476
Cysticercosis,Female,25 to 29,3.128392138,185.9945641,4279.42096,4465.415524
Cysticercosis,Female,10 to 14,0.935040732,69.42642383,875.5614509,944.9878747
Cystic echinococcosis,Female,35 to 39,11.68278328,578.8473282,240.6210841,819.4684123
Cystic echinococcosis,Female,15 to 19,14.97111064,1036.410884,380.5572579,1416.968142
Cystic echinococcosis,Female,55 to 59,14.31463809,435.6109166,250.0982814,685.7091979
Cystic echinococcosis,Female,5 to 9,14.46086026,1147.009394,284.5571717,1431.566566
Cystic echinococcosis,Female,45 to 49,10.77684747,429.0513445,225.6729974,654.7243418
Cystic echinococcosis,Female,20 to 24,14.20667035,914.4839195,403.9521339,1318.436053
Cystic echinococcosis,Female,60 to 64,14.4466734,374.0443174,245.0619382,619.1062556
Cystic echinococcosis,Female,50 to 54,11.38204568,399.4264128,243.6108255,643.0372383
Cystic echinococcosis,Female,25 to 29,14.39828388,856.0324374,353.4075287,1209.439966
Cystic echinococcosis,Female,70 to 74,11.47304359,198.1918063,240.1313594,438.3231657
Cystic echinococcosis,Female,75 to 79,8.483836203,113.18948,185.5646729,298.7541529
Cystic echinococcosis,Female,40 to 44,10.44065109,466.1213502,211.7572589,677.878609
Cystic echinococcosis,Female,80 plus,7.784464855,56.54591491,199.9323079,256.4782228
Cystic echinococcosis,Female,30 to 34,11.6725146,635.9361338,281.9047899,917.8409236
Cystic echinococcosis,Female,Under 5,10.25398119,865.6442025,156.6244281,1022.268631
Cystic echinococcosis,Female,10 to 14,13.61615699,1010.996642,345.4677666,1356.464408
Cystic echinococcosis,Female,65 to 69,12.24224393,263.0979041,257.2080301,520.3059341
Dengue,Female,15 to 19,32.84108871,2273.66484,9836.406664,12110.0715
Dengue,Female,35 to 39,124.0263483,6145.058666,5953.269495,12098.32816
Dengue,Female,70 to 74,36.08644962,622.8480248,1475.784673,2098.632697
Dengue,Female,5 to 9,29.24054032,2319.307001,10977.12535,13296.43235
Dengue,Female,55 to 59,30.12887447,916.4693965,3266.351587,4182.820984
Dengue,Female,75 to 79,23.37044273,311.1638741,1007.250396,1318.41427
Dengue,Female,30 to 34,119.9529385,6535.216325,6752.821275,13288.0376
Dengue,Female,50 to 54,24.18355918,848.222994,3819.454508,4667.677502
Dengue,Female,80 plus,61.92572202,441.9816836,776.4491436,1218.430827
Dengue,Female,60 to 64,27.86703089,721.3343285,2683.474606,3404.808935
Dengue,Female,25 to 29,123.7709544,7358.639436,8097.407832,15456.04727
Dengue,Female,20 to 24,70.36376208,4529.363074,8905.181176,13434.54425
Dengue,Female,65 to 69,50.33883748,1081.302105,1950.050274,3031.352379
Dengue,Female,Under 5,77.00430492,6527.85005,6610.189134,13138.03918
Dengue,Female,45 to 49,28.95583295,1152.670178,4233.353759,5386.023937
Dengue,Female,40 to 44,117.0232168,5224.249433,4925.28821,10149.53764
Dengue,Female,10 to 14,17.81046177,1322.315685,11083.71176,12406.02744
Rabies,Female,35 to 39,202.4809474,10032.32046,1.047453826,10033.36791
Rabies,Female,60 to 64,558.16942,14451.87706,2.898983748,14454.77605
Rabies,Female,55 to 59,287.9740949,8763.362278,1.491353541,8764.853631
Rabies,Female,15 to 19,205.6019392,14233.11775,1.066482654,14234.18423
Rabies,Female,30 to 34,229.6603013,12512.23829,1.194014136,12513.4323
Rabies,Female,70 to 74,273.6356571,4726.664507,1.41658847,4728.081096
Rabies,Female,5 to 9,470.0657818,37284.7713,2.437389547,37287.20869
Rabies,Female,80 plus,94.26177144,684.2623804,0.487998462,684.7503788
Rabies,Female,45 to 49,292.1233383,11630.16321,1.515722452,11631.67893
Rabies,Female,50 to 54,324.8961418,11401.57055,1.685711069,11403.25626
Rabies,Female,20 to 24,202.8094478,13054.77797,1.053666547,13055.83164
Rabies,Female,Under 5,429.2951258,36369.71593,2.221944854,36371.93787
Rabies,Female,75 to 79,165.3243448,2205.675058,0.854424403,2206.529482
Rabies,Female,25 to 29,143.5488645,8534.561207,0.744858386,8535.306065
Rabies,Female,10 to 14,328.578966,24397.03337,1.701799217,24398.73516
Rabies,Female,40 to 44,233.6322136,10430.53593,1.209500778,10431.74543
Rabies,Female,65 to 69,344.6712515,7407.223214,1.787321333,7409.010535
Intestinal nematode infections,Female,35 to 39,4.438317886,219.8983794,27165.60762,27385.506
Intestinal nematode infections,Female,15 to 19,6.955300129,481.5083208,35433.58087,35915.08919
Intestinal nematode infections,Female,55 to 59,4.897535353,149.0316815,13735.04844,13884.08012
Intestinal nematode infections,Female,80 plus,9.235959223,66.90813524,2865.553011,2932.461147
Intestinal nematode infections,Female,5 to 9,46.12110243,3658.242788,35099.5877,38757.83049
Intestinal nematode infections,Female,25 to 29,5.177008926,307.7883215,32021.9778,32329.76612
Intestinal nematode infections,Female,70 to 74,7.477148988,129.1495223,5492.291208,5621.440731
Intestinal nematode infections,Female,60 to 64,6.408595776,165.923968,10629.61579,10795.53976
Intestinal nematode infections,Female,20 to 24,5.36810636,345.5492296,33136.59652,33482.14575
Intestinal nematode infections,Female,45 to 49,3.687879212,146.8205581,21111.25834,21258.0789
Intestinal nematode infections,Female,Under 5,171.134696,14486.96544,18313.86963,32800.83507
Intestinal nematode infections,Female,50 to 54,4.595983298,161.2747726,16507.12135,16668.39612
Intestinal nematode infections,Female,30 to 34,4.267219192,232.4845132,30449.31535,30681.79986
Intestinal nematode infections,Female,75 to 79,6.601407016,88.05334487,3623.533834,3711.587179
Intestinal nematode infections,Female,65 to 69,6.519567071,140.1033867,7247.852206,7387.955593
Intestinal nematode infections,Female,40 to 44,4.251059251,189.7771173,24099.74526,24289.52238
Intestinal nematode infections,Female,10 to 14,14.34143632,1064.818076,34887.49146,35952.30953
Other neglected tropical diseases,Female,15 to 19,34.93067372,2418.53601,3887.133979,6305.669988
